x t U
3.877551020408163129e-01 1.479591836734693855e-01 2.179231311626669276e-01
4.081632653061224025e-01 1.479591836734693855e-01 2.226136707108756774e-01
4.285714285714285476e-01 1.479591836734693855e-01 2.263894429356508864e-01
4.489795918367346372e-01 1.479591836734693855e-01 2.292349323790202065e-01
4.693877551020407823e-01 1.479591836734693855e-01 2.311384463145053358e-01
4.897959183673469274e-01 1.479591836734693855e-01 2.320921627950429389e-01
5.102040816326530726e-01 1.479591836734693855e-01 2.320921627950429944e-01
5.306122448979591066e-01 1.479591836734693855e-01 2.311384463145054191e-01
5.510204081632652517e-01 1.479591836734693855e-01 2.292349323790203452e-01
5.714285714285713969e-01 1.479591836734693855e-01 2.263894429356510529e-01
5.918367346938775420e-01 1.479591836734693855e-01 2.226136707108758439e-01
6.122448979591835760e-01 1.479591836734693855e-01 2.179231311626670664e-01
6.326530612244897211e-01 1.479591836734693855e-01 2.123370987241458840e-01
6.530612244897958663e-01 1.479591836734693855e-01 2.058785276008022747e-01
6.734693877551020114e-01 1.479591836734693855e-01 1.985739574467414170e-01
6.938775510204081565e-01 1.479591836734693855e-01 1.904534043075513938e-01
7.142857142857141906e-01 1.479591836734693855e-01 1.815502372779345674e-01
7.346938775510203357e-01 1.479591836734693855e-01 1.719010413809389515e-01
7.551020408163264808e-01 1.479591836734693855e-01 1.615454672322513552e-01
7.755102040816326259e-01 1.479591836734693855e-01 1.505260681073124218e-01
7.959183673469386600e-01 1.479591836734693855e-01 1.388881250807801337e-01
8.163265306122448051e-01 1.479591836734693855e-01 1.266794609568815677e-01
8.367346938775509502e-01 1.479591836734693855e-01 1.139502437552520203e-01
8.571428571428570953e-01 1.479591836734693855e-01 1.007527805597815129e-01
8.775510204081632404e-01 1.479591836734693855e-01 8.714130257758721798e-02
8.979591836734692745e-01 1.479591836734693855e-01 7.317174229135080255e-02
9.183673469387754196e-01 1.479591836734693855e-01 5.890150362074973028e-02
9.387755102040815647e-01 1.479591836734693855e-01 4.438922603743809120e-02
9.591836734693877098e-01 1.479591836734693855e-01 2.969454360287951747e-02
9.795918367346938549e-01 1.479591836734693855e-01 1.487783991919706603e-02
1.000000000000000000e+00 1.479591836734693855e-01 1.224646799147353207e-16
0.000000000000000000e+00 1.530612244897958940e-01 0.000000000000000000e+00
2.040816326530612082e-02 1.530612244897958940e-01 1.414730775351830810e-02
4.081632653061224164e-02 1.530612244897958940e-01 2.823648118488942746e-02
6.122448979591836593e-02 1.530612244897958940e-01 4.220962485836560196e-02
8.163265306122448328e-02 1.530612244897958940e-01 5.600932012936261917e-02
1.020408163265306006e-01 1.530612244897958940e-01 6.957886108998656560e-02
1.224489795918367319e-01 1.530612244897958940e-01 8.286248758577292872e-02
1.428571428571428492e-01 1.530612244897958940e-01 9.580561434612147598e-02
1.632653061224489666e-01 1.530612244897958940e-01 1.083550552868819544e-01
1.836734693877550839e-01 1.530612244897958940e-01 1.204592420633821548e-01
2.040816326530612013e-01 1.530612244897958940e-01 1.320684359758175497e-01
2.244897959183673186e-01 1.530612244897958940e-01 1.431349323562376707e-01
2.448979591836734637e-01 1.530612244897958940e-01 1.536132565972592456e-01
2.653061224489795533e-01 1.530612244897958940e-01 1.634603510169824747e-01
2.857142857142856984e-01 1.530612244897958940e-01 1.726357517922416651e-01
3.061224489795917880e-01 1.530612244897958940e-01 1.811017552331339320e-01
3.265306122448979331e-01 1.530612244897958940e-01 1.888235727155685995e-01
3.469387755102040782e-01 1.530612244897958940e-01 1.957694736351855147e-01
3.673469387755101678e-01 1.530612244897958940e-01 2.019109157952151123e-01
3.877551020408163129e-01 1.530612244897958940e-01 2.072226626924864590e-01
4.081632653061224025e-01 1.530612244897958940e-01 2.116828872196326872e-01
4.285714285714285476e-01 1.530612244897958940e-01 2.152732613573564990e-01
4.489795918367346372e-01 1.530612244897958940e-01 2.179790314881933089e-01
4.693877551020407823e-01 1.530612244897958940e-01 2.197890790222894464e-01
4.897959183673469274e-01 1.530612244897958940e-01 2.206959660860734473e-01
5.102040816326530726e-01 1.530612244897958940e-01 2.206959660860734196e-01
5.306122448979591066e-01 1.530612244897958940e-01 2.197890790222895296e-01
5.510204081632652517e-01 1.530612244897958940e-01 2.179790314881933921e-01
5.714285714285713969e-01 1.530612244897958940e-01 2.152732613573566656e-01
5.918367346938775420e-01 1.530612244897958940e-01 2.116828872196328815e-01
6.122448979591835760e-01 1.530612244897958940e-01 2.072226626924866810e-01
6.326530612244897211e-01 1.530612244897958940e-01 2.019109157952152511e-01
6.530612244897958663e-01 1.530612244897958940e-01 1.957694736351856812e-01
6.734693877551020114e-01 1.530612244897958940e-01 1.888235727155685995e-01
6.938775510204081565e-01 1.530612244897958940e-01 1.811017552331340985e-01
7.142857142857141906e-01 1.530612244897958940e-01 1.726357517922419149e-01
7.346938775510203357e-01 1.530612244897958940e-01 1.634603510169827523e-01
7.551020408163264808e-01 1.530612244897958940e-01 1.536132565972594677e-01
7.755102040816326259e-01 1.530612244897958940e-01 1.431349323562377818e-01
7.959183673469386600e-01 1.530612244897958940e-01 1.320684359758176885e-01
8.163265306122448051e-01 1.530612244897958940e-01 1.204592420633822658e-01
8.367346938775509502e-01 1.530612244897958940e-01 1.083550552868819961e-01
8.571428571428570953e-01 1.530612244897958940e-01 9.580561434612148985e-02
8.775510204081632404e-01 1.530612244897958940e-01 8.286248758577292872e-02
8.979591836734692745e-01 1.530612244897958940e-01 6.957886108998660724e-02
9.183673469387754196e-01 1.530612244897958940e-01 5.600932012936262611e-02
9.387755102040815647e-01 1.530612244897958940e-01 4.220962485836560196e-02
9.591836734693877098e-01 1.530612244897958940e-01 2.823648118488941358e-02
9.795918367346938549e-01 1.530612244897958940e-01 1.414730775351831678e-02
1.000000000000000000e+00 1.530612244897958940e-01 1.224646799147353207e-16
0.000000000000000000e+00 1.581632653061224303e-01 0.000000000000000000e+00
2.040816326530612082e-02 1.581632653061224303e-01 1.345264620131502407e-02
4.081632653061224164e-02 1.581632653061224303e-01 2.685001259380527180e-02
6.122448979591836593e-02 1.581632653061224303e-01 4.013704652523793909e-02
8.163265306122448328e-02 1.581632653061224303e-01 5.325914872312892401e-02
1.020408163265306006e-01 1.581632653061224303e-01 6.616239765486502111e-02
1.224489795918367319e-01 1.581632653061224303e-01 7.879377110284742358e-02
1.428571428571428492e-01 1.581632653061224303e-01 9.110136404415734857e-02
1.632653061224489666e-01 1.581632653061224303e-01 1.030346019394285662e-01
1.836734693877550839e-01 1.581632653061224303e-01 1.145444485544778734e-01
2.040816326530612013e-01 1.581632653061224303e-01 1.255836074607096786e-01
2.244897959183673186e-01 1.581632653061224303e-01 1.361067163862860196e-01
2.448979591836734637e-01 1.581632653061224303e-01 1.460705336194320914e-01
2.653061224489795533e-01 1.581632653061224303e-01 1.554341156979047178e-01
2.857142857142856984e-01 1.581632653061224303e-01 1.641589856544613812e-01
3.061224489795917880e-01 1.581632653061224303e-01 1.722092911269718085e-01
3.265306122448979331e-01 1.581632653061224303e-01 1.795519516834643836e-01
3.469387755102040782e-01 1.581632653061224303e-01 1.861567947567168702e-01
3.673469387755101678e-01 1.581632653061224303e-01 1.919966796298066269e-01
3.877551020408163129e-01 1.581632653061224303e-01 1.970476089631389982e-01
4.081632653061224025e-01 1.581632653061224303e-01 2.012888274046621684e-01
4.285714285714285476e-01 1.581632653061224303e-01 2.047029068780615857e-01
4.489795918367346372e-01 1.581632653061224303e-01 2.072758181984631354e-01
