x t U
1.000000000000000000e+00 3.258145363408521122e-01 5.697790999916571009e-01
-1.000000000000000000e+00 3.508771929824561209e-01 9.031932033715481811e-01
-8.947368421052631637e-01 3.508771929824561209e-01 9.479086815719918180e-01
-7.894736842105263275e-01 3.508771929824561209e-01 9.196793069234974194e-01
-6.842105263157894912e-01 3.508771929824561209e-01 7.812528648203760362e-01
-5.789473684210526550e-01 3.508771929824561209e-01 6.859942759257950939e-01
-4.736842105263158187e-01 3.508771929824561209e-01 5.622914550561881608e-01
-3.684210526315789824e-01 3.508771929824561209e-01 2.920883071699542088e-01
-2.631578947368421462e-01 3.508771929824561209e-01 -2.371627097362005027e-02
-1.578947368421053099e-01 3.508771929824561209e-01 -3.601788773202888039e-01
-5.263157894736847364e-02 3.508771929824561209e-01 -5.810009389141344016e-01
5.263157894736836262e-02 3.508771929824561209e-01 -6.625147885308410034e-01
1.578947368421053099e-01 3.508771929824561209e-01 -9.121266927575263361e-01
2.631578947368420351e-01 3.508771929824561209e-01 -9.759610245280554430e-01
3.684210526315787604e-01 3.508771929824561209e-01 -9.675878074022551401e-01
4.736842105263157077e-01 3.508771929824561209e-01 -7.836312818484318932e-01
5.789473684210526550e-01 3.508771929824561209e-01 -6.850027564072501685e-01
6.842105263157893802e-01 3.508771929824561209e-01 -3.022235137123995830e-01
7.894736842105261054e-01 3.508771929824561209e-01 7.710891210861964273e-02
8.947368421052630527e-01 3.508771929824561209e-01 3.669896356558412509e-01
1.000000000000000000e+00 3.508771929824561209e-01 7.174373097909502173e-01
-1.000000000000000000e+00 3.759398496240601295e-01 6.363697308826222754e-01
-8.947368421052631637e-01 3.759398496240601295e-01 8.319700071901786620e-01
-7.894736842105263275e-01 3.759398496240601295e-01 8.933435610800050108e-01
-6.842105263157894912e-01 3.759398496240601295e-01 1.065433955546214007e+00
-5.789473684210526550e-01 3.759398496240601295e-01 9.818685294483355808e-01
-4.736842105263158187e-01 3.759398496240601295e-01 7.022271135172826195e-01
-3.684210526315789824e-01 3.759398496240601295e-01 4.307927571777482867e-01
-2.631578947368421462e-01 3.759398496240601295e-01 5.858738891493290440e-02
-1.578947368421053099e-01 3.759398496240601295e-01 -2.062083005222332122e-01
-5.263157894736847364e-02 3.759398496240601295e-01 -4.789059323568924942e-01
5.263157894736836262e-02 3.759398496240601295e-01 -7.015953801827621295e-01
1.578947368421053099e-01 3.759398496240601295e-01 -9.706376367269045069e-01
2.631578947368420351e-01 3.759398496240601295e-01 -9.799781736381116826e-01
3.684210526315787604e-01 3.759398496240601295e-01 -9.541302201253430981e-01
4.736842105263157077e-01 3.759398496240601295e-01 -8.135507010353004720e-01
5.789473684210526550e-01 3.759398496240601295e-01 -5.659307600465059984e-01
6.842105263157893802e-01 3.759398496240601295e-01 -2.704919838979506497e-01
7.894736842105261054e-01 3.759398496240601295e-01 -1.621074791436502294e-01
8.947368421052630527e-01 3.759398496240601295e-01 1.128852037942680853e-01
