crank-nicholson-M20-N100 crank-nicholson-M20-N200 crank-nicholson-M20-N300 crank-nicholson-M30-N100 crank-nicholson-M30-N200 crank-nicholson-M30-N300 crank-nicholson-M100-N100 crank-nicholson-M100-N200 crank-nicholson-M100-N300 crank-nicholson-M200-N100 crank-nicholson-M200-N200 crank-nicholson-M200-N300 crank-nicholson-M400-N100 crank-nicholson-M400-N200 crank-nicholson-M400-N300 crank-nicholson-M800-N100 crank-nicholson-M800-N200 crank-nicholson-M800-N300
6.326546296131680958e-01 6.156827714782692196e-01 6.323384742525394175e-01 6.286052991758169783e-01 6.253798731565458624e-01 6.210067175168803022e-01 6.263940614876337687e-01 6.273540970269028128e-01 6.264274930261322094e-01 6.279974624976074615e-01 6.288398437899878068e-01 6.279751661164058030e-01 6.287807284278994491e-01 6.292373779673421375e-01 6.287626998559843194e-01 6.291662526532640909e-01 6.293982274545483202e-01 6.291566980813741994e-01
6.222630377695516080e-01 6.366585680220242516e-01 6.294853358997041237e-01 6.212873755093855088e-01 6.231777147762381786e-01 6.189754437780117247e-01 6.274030143874608223e-01 6.270917270948280775e-01 6.265271983945882583e-01 6.285682415570044146e-01 6.280317794820088340e-01 6.280251342469916898e-01 6.290669589272861462e-01 6.287765822469305599e-01 6.288110898147312167e-01 6.293091887649260308e-01 6.291619042458793665e-01 6.291831511212602202e-01
6.140013866744412629e-01 6.265702822997057941e-01 6.157128750064436717e-01 6.192537990642480450e-01 6.190907672342348400e-01 6.215899664035131611e-01 6.278159497000854739e-01 6.263942016198733587e-01 6.272283931885662689e-01 6.285488072107644486e-01 6.279822582071703518e-01 6.288919332011420060e-01 6.290301016876855833e-01 6.287686710991478023e-01 6.292969936806991349e-01 6.292874653836689758e-01 6.291595695459605286e-01 6.294316584156148808e-01
6.174068225604095739e-01 6.190076116277652973e-01 6.168138346094641511e-01 6.192886349290028791e-01 6.211345417249626299e-01 6.307421454419728235e-01 6.265865813015130126e-01 6.264343232340175982e-01 6.276164059047352195e-01 6.279884843622691726e-01 6.282836784258243323e-01 6.281194190709413760e-01 6.287652591295431748e-01 6.289788202697973452e-01 6.288238961806769112e-01 6.291571851234452062e-01 6.292724448097752887e-01 6.291861917244968572e-01
6.304519502226527683e-01 6.144342680271996926e-01 6.218228730933034187e-01 6.252374693093001312e-01 6.305812787060215419e-01 6.224256365845118877e-01 6.264889849366763741e-01 6.282754077678068816e-01 6.264057712441835069e-01 6.279937421890117166e-01 6.286482859501414389e-01 6.280681663608670418e-01 6.287685560434691512e-01 6.290770058053453129e-01 6.288108730253586520e-01 6.291587975949430867e-01 6.293109740137894370e-01 6.291793867264579010e-01
6.356142011767942357e-01 6.283494862266280068e-01 6.441046174949019987e-01 6.326893562514900315e-01 6.228963208356039782e-01 6.190005989743772030e-01 6.275932767787404387e-01 6.274614065415661246e-01 6.268096529893518731e-01 6.288827108733979765e-01 6.280799491421227287e-01 6.282893853949816920e-01 6.292530572587504700e-01 6.287848530084308996e-01 6.289284487731409135e-01 6.294058050715407582e-01 6.291645886581473945e-01 6.292408777614111326e-01
6.331585330710168824e-01 6.364095490330458071e-01 6.280783998445459426e-01 6.204935769712196514e-01 6.198956964890586230e-01 6.231470672691588053e-01 6.287845298749545897e-01 6.264076704628803727e-01 6.292487900229948306e-01 6.289277707914909810e-01 6.279965031585281743e-01 6.295248349273355748e-01 6.292044865171986245e-01 6.287851144706364526e-01 6.294150042293129577e-01 6.293727363310225309e-01 6.291691852486237524e-01 6.294652405198956080e-01
6.182070347138284294e-01 6.367255111880611995e-01 6.179120282062118275e-01 6.199228771839809804e-01 6.204535345425505888e-01 6.342253529827911462e-01 6.269913702328689942e-01 6.271081587022531156e-01 6.269977571237235203e-01 6.281289753362195860e-01 6.286120189537327541e-01 6.282044730426028512e-01 6.288264430053719378e-01 6.291354473859904761e-01 6.288368876929728568e-01 6.291866223196345143e-01 6.293499266309141582e-01 6.291880504768504467e-01
6.166342339567387754e-01 6.179838291631910563e-01 6.215991215808943648e-01 6.222440786129808110e-01 6.316348105942251046e-01 6.234879782028508455e-01 6.264530632091444007e-01 6.300634626458065934e-01 6.264091038694297175e-01 6.279884597587935824e-01 6.291330752275907656e-01 6.280240363911206991e-01 6.287691350158851611e-01 6.292351389653506599e-01 6.288171382779929042e-01 6.291594864422815903e-01 6.293795226439270474e-01 6.291876751354267272e-01
6.367593300941858381e-01 6.199729294031582905e-01 6.329751167142392276e-01 6.314645065369874910e-01 6.313547892257507232e-01 6.191492664645683597e-01 6.266923707557384704e-01 6.266851136186423199e-01 6.275480156949287958e-01 6.283387943976466161e-01 6.280754735114419951e-01 6.289708995282827786e-01 6.289796863195826759e-01 6.288075237365925441e-01 6.294054651747781337e-01 6.292693258791149935e-01 6.291779251590323696e-01 6.294971852536556112e-01
