x U u
3.627254509018035811e-01 -1.315994337909299761e-01 -1.316005005622936930e-01
3.647294589178356472e-01 -1.322279451755325186e-01 -1.322290179719793346e-01
3.667334669338677133e-01 -1.328576425247214310e-01 -1.328587213112293053e-01
3.687374749498997795e-01 -1.334885555677914060e-01 -1.334896403088391692e-01
3.707414829659318456e-01 -1.341207136077864903e-01 -1.341218042673594513e-01
3.727454909819639117e-01 -1.347541455155781831e-01 -1.347552420571739296e-01
3.747494989979959779e-01 -1.353888797240122011e-01 -1.353899821106462620e-01
3.767535070140280440e-01 -1.360249442221243832e-01 -1.360260524163362239e-01
3.787575150300601101e-01 -1.366623665494274276e-01 -1.366634805132862507e-01
3.807615230460921762e-01 -1.373011737902684049e-01 -1.373022934853793120e-01
3.827655310621242424e-01 -1.379413925682587694e-01 -1.379425179557687287e-01
3.847695390781562530e-01 -1.385830490407773397e-01 -1.385841800813813751e-01
3.867735470941883191e-01 -1.392261688935471364e-01 -1.392273055474945731e-01
3.887775551102203853e-01 -1.398707773352869943e-01 -1.398719195623877587e-01
3.907815631262524514e-01 -1.405168990924388628e-01 -1.405180468520698944e-01
3.927855711422845175e-01 -1.411645584039715740e-01 -1.411657116550832369e-01
3.947895791583165837e-01 -1.418137790162619372e-01 -1.418149377173844317e-01
3.967935871743486498e-01 -1.424645841780536604e-01 -1.424657482873037950e-01
3.987975951903807159e-01 -1.431169966354955692e-01 -1.431181661105832281e-01
4.008016032064127820e-01 -1.437710386272592900e-01 -1.437722134254942052e-01
4.028056112224448482e-01 -1.444267318797372857e-01 -1.444279119580357817e-01
4.048096192384769143e-01 -1.450840976023223261e-01 -1.450852829172142588e-01
4.068136272545089804e-01 -1.457431564827689208e-01 -1.457443469904043387e-01
4.088176352705410466e-01 -1.464039286826371855e-01 -1.464051243387935464e-01
4.108216432865731127e-01 -1.470664338328205034e-01 -1.470676345929095297e-01
4.128256513026051788e-01 -1.477306910291570630e-01 -1.477318968482317918e-01
4.148296593186372450e-01 -1.483967188281262450e-01 -1.483979296608882725e-01
4.168336673346693111e-01 -1.490645352426306913e-01 -1.490657510434372779e-01
4.188376753507013772e-01 -1.497341577378644151e-01 -1.497353784607357019e-01
4.208416833667334433e-01 -1.504056032272677312e-01 -1.504068288258941233e-01
4.228456913827655095e-01 -1.510788880685697555e-01 -1.510801184963191102e-01
4.248496993987975756e-01 -1.517540280599189439e-01 -1.517552632698441206e-01
4.268537074148296417e-01 -1.524310384361023396e-01 -1.524322783809485826e-01
4.288577154308617079e-01 -1.531099338648542751e-01 -1.531111784970666800e-01
4.308617234468937740e-01 -1.537907284432547539e-01 -1.537919777149858169e-01
4.328657314629258401e-01 -1.544734356942185083e-01 -1.544746895573357592e-01
4.348697394789579063e-01 -1.551580685630749579e-01 -1.551593269691685373e-01
4.368737474949899169e-01 -1.558446394142397884e-01 -1.558459023146301081e-01
4.388777555110219830e-01 -1.565331600279786795e-01 -1.565344273737242498e-01
4.408817635270540491e-01 -1.572236415972635692e-01 -1.572249133391686038e-01
4.428857715430861153e-01 -1.579160947247220392e-01 -1.579173708133443377e-01
4.448897795591181814e-01 -1.586105294196803184e-01 -1.586118098053391212e-01
4.468937875751502475e-01 -1.593069550953003788e-01 -1.593082397280842777e-01
4.488977955911823137e-01 -1.600053805658115669e-01 -1.600066693955863040e-01
4.509018036072143798e-01 -1.607058140438370475e-01 -1.607071070202535090e-01
4.529058116232464459e-01 -1.614082631378157551e-01 -1.614095602103180482e-01
4.549098196392785121e-01 -1.621127348495202125e-01 -1.621140359673535203e-01
4.569138276553105782e-01 -1.628192355716703288e-01 -1.628205406838890701e-01
4.589178356713426443e-01 -1.635277710856438416e-01 -1.635290801411197203e-01
4.609218436873747105e-01 -1.642383465592838487e-01 -1.642396595067139031e-01
4.629258517034067766e-01 -1.649509665448032347e-01 -1.649522833327181082e-01
4.649298597194388427e-01 -1.656656349767871850e-01 -1.656669555535591754e-01
4.669338677354709088e-01 -1.663823551702932890e-01 -1.663836794841445088e-01
4.689378757515029750e-01 -1.671011298190498151e-01 -1.671024578180605458e-01
4.709418837675350411e-01 -1.678219609937528778e-01 -1.678232926258696189e-01
4.729458917835671072e-01 -1.685448501404619159e-01 -1.685461853535057952e-01
