UMR-M UMR-ED UMR-EC AMRE-M AMRE-ED AMRE-EC AMRS-M AMRS-ED AMRS-EC AMRT-M AMRT-ED AMRT-EC
1.300000000000000000e+01 1.239440470698872400e-02 1.240319845812192130e-02 2.300000000000000000e+01 2.407242160582570654e-03 2.366683784761877511e-03 1.300000000000000000e+01 7.949112916458435374e-02 7.947347113384659045e-02 1.300000000000000000e+01 3.950978616526747839e-02 3.926521822653501054e-02
1.400000000000000000e+01 1.054206206110439199e-02 1.054896604814976532e-02 2.500000000000000000e+01 9.743633857740264040e-03 9.831937673176319170e-03 1.400000000000000000e+01 8.062928560621247798e-02 8.085189317546853660e-02 1.400000000000000000e+01 4.053927870216877949e-02 4.042064710548228662e-02
1.500000000000000000e+01 9.077021208877123284e-03 9.082541019012322497e-03 2.700000000000000000e+01 4.237391326764147065e-03 4.233922122904269433e-03 1.500000000000000000e+01 8.176600949689573350e-02 8.223048233133808949e-02 1.500000000000000000e+01 4.157859956302469712e-02 4.159156577429381357e-02
1.600000000000000000e+01 7.898134309601302291e-03 7.902616965273653871e-03 2.900000000000000000e+01 1.392933855494453768e-03 1.410681208773256279e-03 1.600000000000000000e+01 8.356687360634085238e-02 8.393158581348177105e-02 1.600000000000000000e+01 4.567140297845843216e-02 4.517105862551704792e-02
1.700000000000000000e+01 6.935305712493934627e-03 6.938995851232427313e-03 3.100000000000000000e+01 1.310734663132532641e-03 1.335176643004096783e-03 1.700000000000000000e+01 8.514182582169969871e-02 8.561858782716089133e-02 1.700000000000000000e+01 4.956602423657518325e-02 4.877363225571730576e-02
1.800000000000000000e+01 6.138696981664077193e-03 6.141771099527544055e-03 3.300000000000000000e+01 1.725281807274585888e-03 1.725740787841262627e-03 1.800000000000000000e+01 6.903458622897971908e-02 6.874687060629837421e-02 1.800000000000000000e+01 3.232666047270888604e-02 3.203838688338178642e-02
1.900000000000000000e+01 5.472076199224129578e-03 5.474664233206403587e-03 3.500000000000000000e+01 2.762698191328702511e-03 2.689167099390570113e-03 1.900000000000000000e+01 5.302315035271650684e-02 5.188181616269670060e-02 1.900000000000000000e+01 1.462677898027372851e-02 1.422804223064520930e-02
2.000000000000000000e+01 4.908585608742711652e-03 4.910784941430041198e-03 3.700000000000000000e+01 3.630545052184476571e-03 3.529846046141430632e-03 2.000000000000000000e+01 5.349867812878355416e-02 5.237114248701422309e-02 2.000000000000000000e+01 1.622864394105869718e-02 1.588522456553456350e-02
2.100000000000000000e+01 4.427971151430116874e-03 4.429855934253093194e-03 3.900000000000000000e+01 4.186800948664760533e-03 4.105417499555995622e-03 2.100000000000000000e+01 5.397810483347072891e-02 5.286072087641688344e-02 2.100000000000000000e+01 1.764426998310680492e-02 1.749227346432427957e-02
2.200000000000000000e+01 4.014723373324565261e-03 4.016350875797135463e-03 4.100000000000000000e+01 4.383979001007843636e-03 4.343341779448804674e-03 2.200000000000000000e+01 3.642312187127955819e-02 3.611462722653939472e-02 2.200000000000000000e+01 1.496728939845702600e-02 1.480596604778526212e-02
