x U u
1.763527054108216252e-01 9.855449905318899306e-01 9.855448052533092307e-01
1.783567134268536913e-01 9.855288048406259938e-01 9.855286157794341806e-01
1.803607214428857575e-01 9.855150828163752319e-01 9.855148899494856618e-01
1.823647294589178236e-01 9.855037868392046985e-01 9.855035901441341339e-01
1.843687374749498897e-01 9.854948790193837072e-01 9.854946784742557586e-01
1.863727454909819559e-01 9.854883212046671170e-01 9.854881167882157955e-01
1.883767535070140220e-01 9.854840749876199180e-01 9.854838666791929658e-01
1.903807615230460881e-01 9.854821017129827831e-01 9.854818894925450046e-01
1.923847695390781265e-01 9.854823624850765906e-01 9.854821463332131826e-01
1.943887775551101926e-01 9.854848181752452474e-01 9.854845980731641308e-01
1.963927855711422588e-01 9.854894294293349288e-01 9.854892053588709677e-01
1.983967935871743249e-01 9.854961566752100666e-01 9.854959286188270662e-01
2.004008016032063910e-01 9.855049601303029760e-01 9.855047280710966806e-01
2.024048096192384572e-01 9.855157998091973459e-01 9.855155637308982142e-01
2.044088176352705233e-01 9.855286355312435909e-01 9.855283954182195716e-01
2.064128256513025894e-01 9.855434269282055126e-01 9.855431827654637100e-01
2.084168336673346555e-01 9.855601334519362711e-01 9.855598852251262754e-01
2.104208416833667217e-01 9.855787143820833318e-01 9.855784620774987737e-01
2.124248496993987878e-01 9.855991288338201706e-01 9.855988724384012745e-01
2.144288577154308539e-01 9.856213357656045115e-01 9.856210752669402053e-01
2.164328657314629201e-01 9.856452939869614349e-01 9.856450293732911261e-01
2.184368737474949584e-01 9.856709621662897991e-01 9.856706934265049291e-01
2.204408817635270246e-01 9.856982988386909783e-01 9.856980259623374652e-01
2.224448897795590907e-01 9.857272624138189165e-01 9.857269853910985979e-01
2.244488977955911568e-01 9.857578111837504986e-01 9.857575300055226863e-01
2.264529058116232230e-01 9.857899033308740178e-01 9.857896179886567189e-01
2.284569138276552891e-01 9.858234969357945188e-01 9.858232074217659902e-01
2.304609218436873552e-01 9.858585499852570155e-01 9.858582562922568737e-01
2.324649298597194214e-01 9.858950203800825873e-01 9.858947225016131410e-01
2.344689378757514875e-01 9.859328659431194630e-01 9.859325638733462682e-01
2.364729458917835536e-01 9.859720444272055406e-01 9.859717381609590658e-01
2.384769539078156197e-01 9.860125135231431193e-01 9.860122030559189676e-01
2.404809619238476859e-01 9.860542308676822909e-01 9.860539161956423104e-01
2.424849699398797520e-01 9.860971540515137690e-01 9.860968351714860525e-01
2.444889779559117904e-01 9.861412406272684894e-01 9.861409175367484847e-01
2.464929859719438565e-01 9.861864481175235397e-01 9.861861208146740498e-01
2.484969939879759226e-01 9.862327340228123074e-01 9.862324025064643784e-01
2.505010020040079888e-01 9.862800558296392905e-01 9.862797200992917679e-01
2.525050100200400549e-01 9.863283710184960196e-01 9.863280310743158807e-01
2.545090180360721210e-01 9.863776370718781994e-01 9.863772929147005541e-01
2.565130260521041872e-01 9.864278114823029631e-01 9.864274631136309424e-01
2.585170340681362533e-01 9.864788517603241269e-01 9.864784991823284388e-01
2.605210420841683194e-01 9.865307154425445590e-01 9.865303586580633777e-01
2.625250501002003856e-01 9.865833600996244401e-01 9.865829991121629616e-01
2.645290581162324517e-01 9.866367433442848611e-01 9.866363781580144154e-01
2.665330661322645178e-01 9.866908228393033164e-01 9.866904534590610343e-01
