x U u
2.184368737474949584e-01 2.207741734358826396e-02 2.207683905108748929e-02
2.204408817635270246e-01 2.243875819391582052e-02 2.243817292292536736e-02
2.224448897795590907e-01 2.280172594697021937e-02 2.280113368769190810e-02
2.244488977955911568e-01 2.316627889482830022e-02 2.316567963812132466e-02
2.264529058116232230e-01 2.353237521987819325e-02 2.353176895726059523e-02
2.284569138276552891e-01 2.389997300272527284e-02 2.389935972637527439e-02
2.304609218436873552e-01 2.426903023011429961e-02 2.426840993287153816e-02
2.324649298597194214e-01 2.463950480286640141e-02 2.463887747823308161e-02
2.344689378757514875e-01 2.501135454382971343e-02 2.501072018597161328e-02
2.364729458917835536e-01 2.538453720584233145e-02 2.538389580958975295e-02
2.384769539078156197e-01 2.575901047970643662e-02 2.575836204055501066e-02
2.404809619238476859e-01 2.613473200217217990e-02 2.613407651628357753e-02
2.424849699398797520e-01 2.651165936393018105e-02 2.651099682813273448e-02
2.444889779559117904e-01 2.688975011761132738e-02 2.688908052940052265e-02
2.464929859719438565e-01 2.726896178579260588e-02 2.726828514333148185e-02
2.484969939879759226e-01 2.764925186900766413e-02 2.764856817112710044e-02
2.505010020040079888e-01 2.803057785376091363e-02 2.802988709995983541e-02
2.525050100200400549e-01 2.841289722054383959e-02 2.841219941098927643e-02
2.545090180360721210e-01 2.879616745185227186e-02 2.879546258737933351e-02
2.565130260521041872e-01 2.918034604020331227e-02 2.917963412231506723e-02
2.585170340681362533e-01 2.956539049615070427e-02 2.956467152701792653e-02
2.605210420841683194e-01 2.995125835629732294e-02 2.995053233875816581e-02
2.625250501002003856e-01 3.033790719130354321e-02 3.033717412886307446e-02
2.645290581162324517e-01 3.072529461389020625e-02 3.072455451071984603e-02
2.665330661322645178e-01 3.111337828683491749e-02 3.111263114777180691e-02
2.685370741482965840e-01 3.150211593096041013e-02 3.150136176150662021e-02
2.705410821643286501e-01 3.189146533311371101e-02 3.189070413943535798e-02
2.725450901803607162e-01 3.228138435413481500e-02 3.228061614306113047e-02
2.745490981963927823e-01 3.267183093681366030e-02 3.267105571583585333e-02
2.765531062124248485e-01 3.306276311383409688e-02 3.306198089110420207e-02
2.785571142284569146e-01 3.345413901570357812e-02 3.345334980003315806e-02
2.805611222444889807e-01 3.384591687866741333e-02 3.384512067952614306e-02
2.825651302605209914e-01 3.423805505260614501e-02 3.423725188012033405e-02
2.845691382765530575e-01 3.463051200891506531e-02 3.462970187386602700e-02
2.865731462925851236e-01 3.502324634836426892e-02 3.502242926218664121e-02
2.885771543086171897e-01 3.541621680893836110e-02 3.541539278371828164e-02
2.905811623246492559e-01 3.580938227365437071e-02 3.580855132212754088e-02
2.925851703406813220e-01 3.620270177835659825e-02 3.620186391390628478e-02
2.945891783567133881e-01 3.659613451948730972e-02 3.659528975614222829e-02
2.965931863727454543e-01 3.698963986183195773e-02 3.698878821426403174e-02
2.985971943887775204e-01 3.738317734623766708e-02 3.738231882975969617e-02
3.006012024048095865e-01 3.777670669730385372e-02 3.777584132786712678e-02
3.026052104208416527e-01 3.817018783104372120e-02 3.816931562523542820e-02
3.046092184368737188e-01 3.856358086251532313e-02 3.856270183755597381e-02
3.066132264529057849e-01 3.895684611342117853e-02 3.895596028716186154e-02
3.086172344689378511e-01 3.934994411967507322e-02 3.934905151059460426e-02
3.106212424849699172e-01 3.974283563893486054e-02 3.974193626613688191e-02
3.126252505010019833e-01 4.013548165810019303e-02 4.013457554131011351e-02
3.146292585170340494e-01 4.052784340077383168e-02 4.052693056033571800e-02
3.166332665330661156e-01 4.091988233468545760e-02 4.091896279155882166e-02
3.186372745490981817e-01 4.131156017907678529e-02 4.131063395483323269e-02
3.206412825651302478e-01 4.170283891204679821e-02 4.170190602886664211e-02
3.226452905811623140e-01 4.209368077785592688e-02 4.209274125852462134e-02
3.246492985971943801e-01 4.248404829418804540e-02 4.248310216209261886e-02
3.266533066132264462e-01 4.287390425936910693e-02 4.287295153849444984e-02
3.286573146292585124e-01 4.326321175954130072e-02 4.326225247446631450e-02
3.306613226452905785e-01 4.365193417579154439e-02 4.365096835168530420e-02
3.326653306613226446e-01 4.404003519123325661e-02 4.403906285385100761e-02
3.346693386773546552e-01 4.442747879804020972e-02 4.442649997371924536e-02
3.366733466933867214e-01 4.481422930443142161e-02 4.481324402008696195e-02
3.386773547094187875e-01 4.520025134160588626e-02 4.519925962472678971e-02
3.406813627254508536e-01 4.558550987062612997e-02 4.558451174927050098e-02
3.426853707414829198e-01 4.596997018924949691e-02 4.596896569204028671e-02
3.446893787575149859e-01 4.635359793870598433e-02 4.635258709482644596e-02
3.466933867735470520e-01 4.673635911042167690e-02 4.673534194961070226e-02
