x y U
0.343 0.061 0.002
0.354 0.061 0.002
0.364 0.061 0.002
0.374 0.061 0.002
0.384 0.061 0.002
0.394 0.061 0.002
0.404 0.061 0.001
0.414 0.061 0.001
0.424 0.061 0.001
0.434 0.061 0.001
0.444 0.061 0.001
0.455 0.061 0.001
0.465 0.061 0.001
0.475 0.061 0.001
0.485 0.061 0.001
0.495 0.061 0.001
0.505 0.061 0.000
0.515 0.061 0.000
0.525 0.061 0.000
0.535 0.061 0.000
0.545 0.061 0.000
0.556 0.061 0.000
0.566 0.061 -0.000
0.576 0.061 -0.000
0.586 0.061 -0.000
0.596 0.061 -0.000
0.606 0.061 -0.000
0.616 0.061 -0.000
0.626 0.061 -0.001
0.636 0.061 -0.001
0.646 0.061 -0.001
0.657 0.061 -0.001
0.667 0.061 -0.001
0.677 0.061 -0.001
0.687 0.061 -0.001
0.697 0.061 -0.001
0.707 0.061 -0.001
0.717 0.061 -0.001
0.727 0.061 -0.001
0.737 0.061 -0.001
0.747 0.061 -0.001
0.758 0.061 -0.001
0.768 0.061 -0.001
0.778 0.061 -0.001
0.788 0.061 -0.001
0.798 0.061 -0.001
0.808 0.061 -0.001
0.818 0.061 -0.001
0.828 0.061 -0.001
0.838 0.061 -0.001
0.848 0.061 -0.001
0.859 0.061 -0.001
0.869 0.061 -0.000
0.879 0.061 -0.000
0.889 0.061 -0.000
0.899 0.061 -0.000
0.909 0.061 -0.000
0.919 0.061 -0.000
0.929 0.061 0.000
0.939 0.061 0.000
0.949 0.061 0.000
0.960 0.061 0.000
0.970 0.061 0.000
0.980 0.061 0.001
0.990 0.061 0.001
1.000 0.061 0.001
0.000 0.071 0.001
0.010 0.071 0.001
0.020 0.071 0.001
0.030 0.071 0.001
0.040 0.071 0.001
0.051 0.071 0.001
0.061 0.071 0.002
0.071 0.071 0.002
0.081 0.071 0.002
0.091 0.071 0.002
0.101 0.071 0.002
0.111 0.071 0.002
0.121 0.071 0.002
0.131 0.071 0.002
0.141 0.071 0.002
0.152 0.071 0.002
0.162 0.071 0.002
0.172 0.071 0.002
0.182 0.071 0.002
0.192 0.071 0.002
0.202 0.071 0.002
0.212 0.071 0.002
0.222 0.071 0.003
0.232 0.071 0.003
0.242 0.071 0.003
0.253 0.071 0.003
0.263 0.071 0.003
0.273 0.071 0.002
0.283 0.071 0.002
0.293 0.071 0.002
0.303 0.071 0.002
0.313 0.071 0.002
0.323 0.071 0.002
0.333 0.071 0.002
0.343 0.071 0.002
0.354 0.071 0.002
0.364 0.071 0.002
0.374 0.071 0.002
0.384 0.071 0.002
0.394 0.071 0.002
0.404 0.071 0.002
0.414 0.071 0.002
0.424 0.071 0.001
0.434 0.071 0.001
0.444 0.071 0.001
0.455 0.071 0.001
0.465 0.071 0.001
0.475 0.071 0.001
0.485 0.071 0.001
0.495 0.071 0.001
0.505 0.071 0.001
0.515 0.071 0.000
0.525 0.071 0.000
0.535 0.071 0.000
0.545 0.071 0.000
0.556 0.071 0.000
0.566 0.071 -0.000
0.576 0.071 -0.000
0.586 0.071 -0.000
0.596 0.071 -0.000
0.606 0.071 -0.000
0.616 0.071 -0.001
0.626 0.071 -0.001
0.636 0.071 -0.001
0.646 0.071 -0.001
0.657 0.071 -0.001
0.667 0.071 -0.001
0.677 0.071 -0.001
0.687 0.071 -0.001
0.697 0.071 -0.001
0.707 0.071 -0.001
0.717 0.071 -0.001
0.727 0.071 -0.001
0.737 0.071 -0.001
0.747 0.071 -0.001
0.758 0.071 -0.001
0.768 0.071 -0.001
0.778 0.071 -0.001
0.788 0.071 -0.001
0.798 0.071 -0.001
0.808 0.071 -0.001
0.818 0.071 -0.001
0.828 0.071 -0.001
0.838 0.071 -0.001
0.848 0.071 -0.001
0.859 0.071 -0.001
0.869 0.071 -0.001
0.879 0.071 -0.000
0.889 0.071 -0.000
0.899 0.071 -0.000
0.909 0.071 -0.000
0.919 0.071 -0.000
0.929 0.071 0.000
0.939 0.071 0.000
0.949 0.071 0.000
0.960 0.071 0.000
0.970 0.071 0.000
0.980 0.071 0.001
0.990 0.071 0.001
1.000 0.071 0.001
0.000 0.081 0.001
0.010 0.081 0.001
0.020 0.081 0.001
0.030 0.081 0.001
0.040 0.081 0.001
0.051 0.081 0.002
0.061 0.081 0.002
0.071 0.081 0.002
0.081 0.081 0.002
0.091 0.081 0.002
0.101 0.081 0.002
0.111 0.081 0.002
0.121 0.081 0.002
0.131 0.081 0.002
0.141 0.081 0.002
0.152 0.081 0.003
0.162 0.081 0.003
0.172 0.081 0.003
0.182 0.081 0.003
0.192 0.081 0.003
0.202 0.081 0.003
0.212 0.081 0.003
0.222 0.081 0.003
0.232 0.081 0.003
0.242 0.081 0.003
0.253 0.081 0.003
0.263 0.081 0.003
0.273 0.081 0.003
0.283 0.081 0.003
0.293 0.081 0.003
0.303 0.081 0.003
0.313 0.081 0.003
0.323 0.081 0.003
0.333 0.081 0.003
0.343 0.081 0.002
0.354 0.081 0.002
0.364 0.081 0.002
0.374 0.081 0.002
0.384 0.081 0.002
0.394 0.081 0.002
0.404 0.081 0.002
0.414 0.081 0.002
0.424 0.081 0.002
0.434 0.081 0.002
0.444 0.081 0.001
0.455 0.081 0.001
0.465 0.081 0.001
0.475 0.081 0.001
0.485 0.081 0.001
0.495 0.081 0.001
0.505 0.081 0.001
0.515 0.081 0.001
0.525 0.081 0.000
0.535 0.081 0.000
0.545 0.081 0.000
0.556 0.081 0.000
0.566 0.081 -0.000
0.576 0.081 -0.000
0.586 0.081 -0.000
0.596 0.081 -0.000
0.606 0.081 -0.001
0.616 0.081 -0.001
0.626 0.081 -0.001
0.636 0.081 -0.001
0.646 0.081 -0.001
0.657 0.081 -0.001
0.667 0.081 -0.001
0.677 0.081 -0.001
0.687 0.081 -0.001
0.697 0.081 -0.001
0.707 0.081 -0.001
0.717 0.081 -0.001
0.727 0.081 -0.001
0.737 0.081 -0.001
0.747 0.081 -0.001
0.758 0.081 -0.001
0.768 0.081 -0.001
0.778 0.081 -0.001
0.788 0.081 -0.001
0.798 0.081 -0.001
0.808 0.081 -0.001
0.818 0.081 -0.001
0.828 0.081 -0.001
0.838 0.081 -0.001
0.848 0.081 -0.001
0.859 0.081 -0.001
0.869 0.081 -0.001
0.879 0.081 -0.001
0.889 0.081 -0.000
0.899 0.081 -0.000
0.909 0.081 -0.000
0.919 0.081 -0.000
0.929 0.081 -0.000
0.939 0.081 0.000
0.949 0.081 0.000
0.960 0.081 0.000
0.970 0.081 0.001
0.980 0.081 0.001
0.990 0.081 0.001
1.000 0.081 0.001
0.000 0.091 0.001
0.010 0.091 0.001
0.020 0.091 0.001
0.030 0.091 0.002
0.040 0.091 0.002
0.051 0.091 0.002
0.061 0.091 0.002
0.071 0.091 0.002
0.081 0.091 0.002
0.091 0.091 0.002
0.101 0.091 0.002
0.111 0.091 0.003
